time,latitude,longitude,depth,mag,net,id
16760,33.2716667,-116.3316667,11.7,1.21,ci,ci40618151
16740,36.979,-116.1231,7.1,0.1,nn,nn00878948
16720,35.6718333,-117.5263333,8.9,0.7,ci,ci40618135
16700,32.6508333,-115.715,8.52,1.53,ci,ci40618127
16680,63.0992,-151.3504,0.1,1.2,ak,ak0247el5wex
16660,35.6274,-115.9193,11.1,1.4,nn,nn00878946
16640,31.589,-103.933,5.4125,1.5,tx,tx2024lhvk
16620,46.19933333,-122.1916667,7.18,0.47,uw,uw62005572
16600,61.7455,-150.9013,65.4,1.6,ak,ak0247ekxfsc
16580,63.1008,-151.5209,0.1,2,ak,ak0247ekwgy1
16560,35.7286667,-118.4111667,4.42,0.92,ci,ci40618087
16540,38.79616547,-122.8119965,3.210000038,0.94,nc,nc75019937
16520,33.987,-117.1725,18.44,0.93,ci,ci40618079
16500,32.751,-100.636,8.96,1.7,tx,tx2024lhrk
16480,58.4132,-153.6542,80.2,1.6,ak,ak0247ejuc1q
16460,38.82500076,-122.8081665,1.649999976,1.1,nc,nc75019927
16440,38.80716705,-122.8148346,1.600000024,1.09,nc,nc75019922
16420,28.454,-98.705,9.5459,1.8,tx,tx2024lhqz
16400,32.4576,137.7635,390.152,4,us,us7000mrdj
16380,44.76966667,-111.0071667,9.23,0.79,uu,uu80072476
16360,38.82516479,-122.8079987,1.549999952,0.77,nc,nc75019912
16340,38.82516479,-122.8083344,1.639999986,0.24,nc,nc75019907
16320,60.2505,-141.2165,17.8,1.5,ak,ak0247ejrksp
16300,34.011,-117.195,14.48,1.79,ci,ci40618055
16280,38.82183456,-122.7883301,2.039999962,0.77,nc,nc75019902
16260,38.8176651,-122.821167,1.700000048,0.28,nc,nc75019897
16240,37.1798,-117.3403,10.1,1.2,nn,nn00878936
16220,18.22116667,-68.04816667,108.88,3.41,pr,pr71452003
16200,60.3359,-150.7818,36.3,1.6,ak,ak0247ejd085
16180,38.80916595,-122.8213348,3.079999924,1.27,nc,nc75019892
16160,37.81866667,-113.1146667,1.84,1.63,uu,uu80072456
16140,35.9991684,-120.5618362,1.659999967,1.93,nc,nc75019887
16120,36.51233292,-121.0943298,4.769999981,1.45,nc,nc75019882
16100,44.769,-111.0076667,6.88,0.53,uu,uu80072451
16080,31.584,-104.541,4.1924,1.9,tx,tx2024lhpd
16060,-5.4356,154.0968,125,5.7,us,us7000mrdc
16040,36.9469986,-121.591835,6.289999962,1.12,nc,nc75019877
16020,38.83499908,-122.7893295,1.75999999,0.69,nc,nc75019872
16000,-34.8866,-73.6986,10.063,4.3,us,us7000mrd6
15980,18.72683333,-66.969,7.94,2.58,pr,pr71451993
15960,15.6431,-94.3583,61.802,4.1,us,us7000mrd7
15940,34.181,86.4415,12.897,4.4,us,us7000mrd5
15920,33.4661667,-116.621,4.54,0.63,ci,ci40618015
15900,38.83050156,-122.8098297,6.110000134,0.28,nc,nc75019857
15880,18.054,-66.76366667,15.58,1.47,pr,pr71451988
15860,17.94883333,-66.9705,12.08,2.03,pr,pr71451978
15840,69.6065,-143.2242,1.9,2.1,ak,ak0247eiozm0
15820,63.2915,-149.5907,70.7,1.6,ak,ak0247eio49h
15800,35.52833333,-96.76116667,6.38,0.81,ok,ok2024lhnf
15780,19.3920002,-155.2746735,0.75999999,2.44,hv,hv74269881
15760,38.82049942,-122.8016663,3.109999895,1.38,nc,nc75019842
15740,32.3754,-101.007,5,2.9,us,us7000mrcx
15720,31.716,-104.607,1.2259,1.6,tx,tx2024lhmn
15700,34.168,-116.8823333,1.73,2.01,ci,ci40618007
15680,38.83733368,-122.8183365,2.029999971,0.76,nc,nc75019822
15660,33.9935,-118.4706667,14.51,1.76,ci,ci40617999
15640,31.654,-104.372,6.2226,1.5,tx,tx2024lhlt
15620,46.21233333,-122.177,6.81,0.44,uw,uw62005522
15600,-21.7597,-68.4258,120.261,4.4,us,us7000mrcr
15580,35.98583221,-120.543663,5.880000114,1.66,nc,nc75019807
15560,65.6813,-148.8424,6.5,1.4,ak,ak0247ei3iyj
15540,35.53216667,-96.76,6.37,1.48,ok,ok2024lhlf
15520,38.82400131,-122.7633362,0.100000001,0.78,nc,nc75019797
15500,38.82316589,-122.7653351,2.25999999,1.09,nc,nc75019792
15480,18.884,-64.71483333,6.97,3.15,pr,pr71451958
15460,59.5082,-153.0028,104.1,2.6,ak,ak0247ehkprq
15440,33.3421667,-116.2038333,11.2,1.2,ci,ci40617951
15420,19.20733261,-155.511673,33.65000153,2.36999989,hv,hv74269756
15400,38.8219986,-122.7994995,1.580000043,1.05,nc,nc75019782
15380,41.57283333,-112.4348333,7.46,1.3,uu,uu80072391
15360,38.79166794,-122.76017,1.179999948,0.79,nc,nc75019777
15340,19.16200066,-155.4986725,30.62999916,1.87,hv,hv74269691
15320,63.4587,-153.3,13.5,1.7,ak,ak0247egtq37
15300,46.1255,-122.4943333,18.54,1.67,uw,uw62005502
15280,46.123,-122.4981667,18.61,1.6,uw,uw61503103
15260,46.12166667,-122.5073333,18.79,0.71,uw,uw62005497
15240,38.74983215,-122.7294998,-0.519999981,1.85,nc,nc75019772
15220,38.80899811,-122.822998,3.24000001,1.07,nc,nc75019767
15200,39.4523,-120.2843,13.7,0.8,nn,nn00878981
15180,-8.8853,-108.54,10,4.8,us,us7000mrch
15160,34.0108333,-117.1981667,13.78,0.9,ci,ci40617943
15140,37.8285,-113.085,6.81,1.16,uu,uu80072376
15120,33.8496666,-118.4606705,10.78,1.91,ci,ci40617935
15100,34.011,-117.2003333,15.25,1.73,ci,ci40617927
15080,34.0146667,-117.1975,14.06,1.61,ci,ci40617919
15060,34.01,-117.1966667,14.63,1.57,ci,ci40617911
15040,33.8268333,-117.646,3.78,0.93,ci,ci40617903
15020,38.80466843,-122.7805023,2.789999962,1.39,nc,nc75019762
15000,-54.0014,-134.0927,10,5,us,us7000mrcd
14980,35.9796,-114.6706,2.1,1.7,nn,nn00878914
14960,18.37083333,-67.44733333,6.74,2.89,pr,pr71451933
14940,-2.9594,139.1728,20.591,4.6,us,us7000mrc6
14920,38.83449936,-122.7624969,0.829999983,1.34,nc,nc75019752
14900,38.80666733,-122.8239975,2.970000029,1.23,nc,nc75019747
14880,38.82016754,-121.4175034,18.27000046,2.7,nc,nc75019742
14860,31.665,-104.192,5.946,2.3,tx,tx2024lheg
14840,38.85083389,-122.8414993,0.99000001,0.72,nc,nc75019737
14820,38.78933334,-122.7675018,2.349999905,1.07,nc,nc75019732
14800,35.54316667,-96.74716667,6.16,1.38,ok,ok2024lhdv
14780,38.82383347,-122.8050003,1.289999962,1.7,nc,nc75019727
14760,31.699,-104.178,6.7151,1.7,tx,tx2024lhdq
14740,38.81433487,-122.8568344,13.39999962,0.82,nc,nc75019717
14720,38.83566666,-122.784668,1.370000005,0.37,nc,nc75019712
14700,-54.062,-133.9453,10,5,us,us7000mrc1
14680,33.1186667,-116.376,8.51,0.59,ci,ci40617895
14660,33.4885,-116.581,11.37,0.72,ci,ci40617887
14640,61.3384,-152.2897,5.3,0.2,ak,ak0247efn062
14620,-53.8496,-134.0395,10,5.1,us,us7000mrbx
14600,36.98283386,-121.6241684,-0.209999993,1.4,nc,nc75019707
